HomeTeam,GuestTeam,GoalsHomeTeam,GoalsGuestTeam
St. Polten,Rapid Vienna,1,1
Austria Vienna,Admira,1,2
Mattersburg,Ried,1,1
Sturm Graz,Wolfsberger AC,3,0
Altach,Salzburg,0,0
Wolfsberger AC,Altach,1,2
Admira,Mattersburg,1,0
Ried,Rapid Vienna,4,2
Salzburg,Sturm Graz,0,1
Austria Vienna,St. Polten,2,1
Wolfsberger AC,Salzburg,2,2
Admira,St. Polten,1,1
Rapid Vienna,Altach,1,1
Sturm Graz,Ried,1,0
Mattersburg,Austria Vienna,0,2
Sturm Graz,Mattersburg,2,2
Altach,Admira,2,0
Ried,Wolfsberger AC,0,1
St. Polten,Salzburg,1,5
Rapid Vienna,Austria Vienna,0,2
Admira,Rapid Vienna,1,2
Wolfsberger AC,Mattersburg,3,0
Salzburg,Ried,1,0
St. Polten,Altach,0,1
Austria Vienna,Sturm Graz,2,0
Sturm Graz,St. Polten,1,2
